Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,First,Shane Edwards,1,18,LOST,54,46,57,41,40,43,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,Second,James Willcox,1,17,WON,100,60,134,43,84,80,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,Second,Shane Edwards,2,14,WON,180,30,121,121,49,,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,First,James Willcox,2,15,LOST,85,80,60,60,100,,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,First,Shane Edwards,3,22,WON,83,100,13,51,81,121,12,40,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,Second,James Willcox,3,21,LOST,60,121,58,58,60,100,12,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,Second,Shane Edwards,4,17,WON,60,180,81,100,31,49,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,First,James Willcox,4,18,LOST,24,66,60,58,45,41,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,First,Shane Edwards,5,21,LOST,180,58,59,96,76,16,0,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,Second,James Willcox,5,20,WON,100,100,86,134,31,26,24,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,Second,Shane Edwards,6,18,LOST,97,96,24,96,85,51,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,First,James Willcox,6,20,WON,57,100,42,58,100,84,60,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,First,Shane Edwards,7,18,WON,41,96,84,118,92,70,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,Second,James Willcox,7,15,LOST,100,100,62,29,40,,,,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,Second,Shane Edwards,8,23,WON,121,40,64,42,44,123,27,40,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,First,James Willcox,8,24,LOST,93,96,92,60,84,26,32,16,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,James Willcox,First,Shane Edwards,9,23,WON,57,96,43,43,56,140,34,32,,,,,,,
Ruislip,,,30/05/2025,Final,https://www.dartsatlas.com/matches/51HnbUZwj4oC,Shane Edwards,Second,James Willcox,9,21,LOST,57,60,134,55,80,79,1,,,,,,,,
Ruislip,,,30/05/2025,Semi-Final,https://www.dartsatlas.com/matches/cHItRqGaxkc5,Steve Henry,First,James Willcox,1,18,LOST,45,44,95,99,47,47,,,,,,,,,
Ruislip,,,30/05/2025,Semi-Final,https://www.dartsatlas.com/matches/cHItRqGaxkc5,James Willcox,Second,Steve Henry,1,17,WON,96,59,125,26,95,100,,,,,,,,,
Ruislip,,,30/05/2025,Semi-Final,https://www.dartsatlas.com/matches/cHItRqGaxkc5,Steve Henry,Second,James Willcox,2,21,LOST,134,13,43,64,24,29,44,,,,,,,,
