Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,John Mcdermott,Second,Sebastian Bond,1,27,LOST,41,77,66,53,95,137,7,0,0,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,Sebastian Bond,First,John Mcdermott,1,29,WON,24,60,100,60,59,44,22,52,23,57
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,John Mcdermott,First,Sebastian Bond,2,16,WON,41,140,83,140,57,40,,,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,Sebastian Bond,Second,John Mcdermott,2,15,LOST,60,100,81,73,0,,,,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,John Mcdermott,Second,Sebastian Bond,3,24,LOST,61,36,31,41,75,85,42,70,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,Sebastian Bond,First,John Mcdermott,3,26,WON,36,26,60,41,41,45,100,96,56,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,John Mcdermott,First,Sebastian Bond,4,24,LOST,123,60,25,41,60,62,78,20,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,Sebastian Bond,Second,John Mcdermott,4,23,WON,100,45,100,41,59,100,46,10,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,John Mcdermott,Second,Sebastian Bond,5,18,LOST,140,41,44,60,100,96,,,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,Sebastian Bond,First,John Mcdermott,5,21,WON,81,95,121,58,40,53,53,,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,John Mcdermott,First,Sebastian Bond,6,16,WON,78,40,140,133,78,32,,,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,Sebastian Bond,Second,John Mcdermott,6,15,LOST,60,81,28,5,45,,,,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,John Mcdermott,Second,Sebastian Bond,7,21,LOST,100,140,61,60,64,0,64,,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,Sebastian Bond,First,John Mcdermott,7,24,WON,100,100,100,26,65,60,45,5,,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,John Mcdermott,First,Sebastian Bond,8,27,LOST,60,44,26,98,99,122,36,0,0,
Wood Green,,,06/07/2025,Final,https://www.dartsatlas.com/matches/frypEvaczW4s,Sebastian Bond,Second,John Mcdermott,8,25,WON,100,100,45,85,59,80,24,4,4,
