Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Darryl Pilgrim,Second,Shane Edwards,1,15,WON,96,58,96,180,71,,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Shane Edwards,First,Darryl Pilgrim,1,15,LOST,81,45,100,105,45,,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Darryl Pilgrim,First,Shane Edwards,2,18,WON,57,58,100,84,145,57,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Shane Edwards,Second,Darryl Pilgrim,2,15,LOST,29,60,41,41,30,,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Darryl Pilgrim,Second,Shane Edwards,3,13,WON,180,60,121,100,40,,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Shane Edwards,First,Darryl Pilgrim,3,15,LOST,44,59,58,80,100,,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Darryl Pilgrim,First,Shane Edwards,4,17,WON,140,96,83,140,10,32,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Shane Edwards,Second,Darryl Pilgrim,4,15,LOST,93,94,43,98,100,,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Darryl Pilgrim,Second,Shane Edwards,5,14,WON,100,180,100,65,56,,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Shane Edwards,First,Darryl Pilgrim,5,15,LOST,96,94,140,5,116,,,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Darryl Pilgrim,First,Shane Edwards,6,19,WON,100,57,46,118,135,29,16,,,,,,
Morden,,,26-10-2025,Final,https://www.dartsatlas.com/matches/U6jgVY9vQfxS,Shane Edwards,Second,Darryl Pilgrim,6,18,LOST,60,180,40,100,85,27,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Oscar King,Second,Darryl Pilgrim,1,18,LOST,60,45,100,60,85,99,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Darryl Pilgrim,First,Oscar King,1,20,WON,95,77,48,96,100,71,14,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Oscar King,First,Darryl Pilgrim,2,18,WON,100,60,60,40,140,101,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Darryl Pilgrim,Second,Oscar King,2,15,LOST,57,123,60,91,77,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Oscar King,Second,Darryl Pilgrim,3,15,LOST,100,95,40,69,60,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Darryl Pilgrim,First,Oscar King,3,16,WON,140,96,133,58,34,40,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Oscar King,First,Darryl Pilgrim,4,15,LOST,125,41,92,85,58,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Darryl Pilgrim,Second,Oscar King,4,14,WON,137,134,118,80,32,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Oscar King,Second,Darryl Pilgrim,5,12,LOST,100,68,43,41,,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Darryl Pilgrim,First,Oscar King,5,14,WON,97,96,114,134,60,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Oscar King,First,Darryl Pilgrim,6,18,WON,100,100,100,70,55,76,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Darryl Pilgrim,Second,Oscar King,6,15,LOST,96,95,59,58,96,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Oscar King,Second,Darryl Pilgrim,7,15,WON,58,59,140,140,104,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Darryl Pilgrim,First,Oscar King,7,15,LOST,100,91,140,138,0,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Oscar King,First,Darryl Pilgrim,8,15,LOST,49,59,45,55,100,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/StKoalPS7h2J,Darryl Pilgrim,Second,Oscar King,8,14,WON,140,120,84,57,100,,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/4ddPoe1htNXR,Shane Edwards,Second,Charlie Green,1,18,LOST,84,57,81,100,99,40,,,,,,,
Morden,,,26-10-2025,Semi-Final,https://www.dartsatlas.com/matches/4ddPoe1htNXR,Charlie Green,First,Shane Edwards,1,19,WON,60,60,140,100,58,75,8,,,,,,
