Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21,Throw_22,Throw_23
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/taUrEX10vVTL,Ross Lee,Second,Troy Power,3,30,WON,26,44,57,140,100,58,58,10,0,8,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/QIhJNXTM9jJz,Paul Upfold,First,Alan Greene,1,27,WON,82,44,40,40,45,63,47,54,86,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/QIhJNXTM9jJz,Alan Greene,Second,Paul Upfold,1,24,LOST,64,59,60,22,30,60,80,58,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/QIhJNXTM9jJz,Paul Upfold,Second,Alan Greene,2,23,WON,66,25,121,83,30,40,85,51,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/QIhJNXTM9jJz,Alan Greene,First,Paul Upfold,2,24,LOST,41,42,11,100,43,41,79,62,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/YfDnmzAUQ1Gb,Teddie Stanford,First,Harry Sheridan,1,38,WON,35,33,95,45,55,13,95,40,50,8,16,0,16,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/YfDnmzAUQ1Gb,Harry Sheridan,Second,Teddie Stanford,1,36,LOST,52,28,39,41,45,71,37,33,27,28,64,30,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/YfDnmzAUQ1Gb,Teddie Stanford,Second,Harry Sheridan,2,42,LOST,74,17,23,29,89,54,63,9,75,50,16,0,0,0,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/YfDnmzAUQ1Gb,Harry Sheridan,First,Teddie Stanford,2,43,WON,11,50,26,40,15,39,43,26,26,30,40,68,44,31,12,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/YfDnmzAUQ1Gb,Teddie Stanford,First,Harry Sheridan,3,27,WON,29,45,63,39,29,117,91,31,57,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/YfDnmzAUQ1Gb,Harry Sheridan,Second,Teddie Stanford,3,24,LOST,85,43,45,24,22,54,80,83,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/HOfDjy6jRpaL,Alan Greene,First,Troy Power,1,35,WON,41,55,60,5,100,100,45,24,31,30,5,5,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/HOfDjy6jRpaL,Troy Power,Second,Alan Greene,1,33,LOST,58,81,45,80,41,43,49,29,3,23,9,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/HOfDjy6jRpaL,Alan Greene,Second,Troy Power,2,18,LOST,44,60,60,44,45,41,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/HOfDjy6jRpaL,Troy Power,First,Alan Greene,2,21,WON,46,99,60,45,56,85,110,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/HOfDjy6jRpaL,Alan Greene,First,Troy Power,3,29,WON,85,45,26,59,60,60,60,42,15,49,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/HOfDjy6jRpaL,Troy Power,Second,Alan Greene,3,27,LOST,84,125,90,25,44,59,34,30,0,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/vneSaMWyvPU2,Paul Upfold,First,Teddie Stanford,1,21,WON,33,100,100,60,44,68,96,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/vneSaMWyvPU2,Teddie Stanford,Second,Paul Upfold,1,18,LOST,41,13,83,28,57,25,,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/vneSaMWyvPU2,Paul Upfold,Second,Teddie Stanford,2,22,WON,60,140,81,60,60,40,40,20,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/vneSaMWyvPU2,Teddie Stanford,First,Paul Upfold,2,24,LOST,32,45,55,34,83,80,25,60,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/dsMi1jXcTwI8,Ross Lee,First,Harry Sheridan,1,28,WON,60,45,74,59,85,44,72,56,0,6,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/dsMi1jXcTwI8,Harry Sheridan,Second,Ross Lee,1,27,LOST,45,26,38,7,52,26,23,22,123,,,,,,,,,,,,,,
