Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Tergel Khurelkhuu,First,Shane Edwards,1,21,LOST,83,45,100,60,60,95,18,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Shane Edwards,Second,Tergel Khurelkhuu,1,20,WON,57,59,100,59,59,126,41,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Tergel Khurelkhuu,Second,Shane Edwards,2,16,WON,100,140,58,100,83,20,,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Shane Edwards,First,Tergel Khurelkhuu,2,18,LOST,40,50,96,97,60,84,,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Tergel Khurelkhuu,First,Shane Edwards,3,26,WON,60,81,60,140,45,41,54,10,10,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Shane Edwards,Second,Tergel Khurelkhuu,3,24,LOST,41,100,28,30,58,32,140,52,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Tergel Khurelkhuu,Second,Shane Edwards,4,23,WON,60,60,43,100,140,74,12,12,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Shane Edwards,First,Tergel Khurelkhuu,4,24,LOST,42,59,44,60,60,100,101,19,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Tergel Khurelkhuu,First,Shane Edwards,5,18,WON,140,100,44,57,42,118,,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Shane Edwards,Second,Tergel Khurelkhuu,5,15,LOST,134,140,36,159,0,,,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Tergel Khurelkhuu,Second,Shane Edwards,6,15,WON,85,180,96,100,40,,,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Shane Edwards,First,Tergel Khurelkhuu,6,15,LOST,81,123,100,99,86,,,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Tergel Khurelkhuu,First,Shane Edwards,7,18,WON,45,140,140,96,60,20,,,,,
Wood Green,,,23/03/2025,Final,https://www.dartsatlas.com/matches/LkWLHQ0xkl21,Shane Edwards,Second,Tergel Khurelkhuu,7,15,LOST,35,85,140,85,48,,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Tergel Khurelkhuu,First,Charlie Hardie,1,21,WON,60,59,100,100,65,57,60,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Charlie Hardie,Second,Tergel Khurelkhuu,1,18,LOST,81,62,133,55,26,60,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Tergel Khurelkhuu,Second,Charlie Hardie,2,18,WON,100,140,100,73,44,44,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Charlie Hardie,First,Tergel Khurelkhuu,2,18,LOST,81,140,57,17,85,86,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Tergel Khurelkhuu,First,Charlie Hardie,3,16,WON,92,100,140,97,48,24,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Charlie Hardie,Second,Tergel Khurelkhuu,3,15,LOST,52,1,95,29,36,,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Tergel Khurelkhuu,Second,Charlie Hardie,4,17,WON,100,100,100,139,42,20,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Charlie Hardie,First,Tergel Khurelkhuu,4,18,LOST,88,81,57,45,60,60,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Tergel Khurelkhuu,First,Charlie Hardie,5,19,WON,100,60,60,100,131,34,16,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/IXHEE5nkmEeM,Charlie Hardie,Second,Tergel Khurelkhuu,5,18,LOST,59,43,57,17,39,180,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Shane Edwards,First,Tyla Samson,1,18,WON,123,100,60,11,59,148,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Tyla Samson,Second,Shane Edwards,1,15,LOST,41,45,60,81,94,,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Shane Edwards,Second,Tyla Samson,2,12,LOST,57,100,60,81,,,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Tyla Samson,First,Shane Edwards,2,13,WON,140,140,98,91,32,,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Shane Edwards,First,Tyla Samson,3,16,WON,60,180,100,57,68,36,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Tyla Samson,Second,Shane Edwards,3,15,LOST,66,45,26,41,85,,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Shane Edwards,Second,Tyla Samson,4,23,WON,84,140,100,37,11,69,40,20,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Tyla Samson,First,Shane Edwards,4,24,LOST,26,85,81,99,118,78,12,0,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Shane Edwards,First,Tyla Samson,5,14,WON,131,60,97,177,36,,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Tyla Samson,Second,Shane Edwards,5,12,LOST,95,95,125,60,,,,,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Shane Edwards,Second,Tyla Samson,6,22,WON,60,140,100,81,42,58,10,10,,,
Wood Green,,,23/03/2025,Semi-Final,https://www.dartsatlas.com/matches/RnjNERAytM8x,Tyla Samson,First,Shane Edwards,6,24,LOST,39,53,81,66,27,40,13,60,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Tergel Khurelkhuu,First,Odbileg Khayankhyarvaa,1,21,WON,58,60,83,140,46,58,56,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Odbileg Khayankhyarvaa,Second,Tergel Khurelkhuu,1,18,LOST,81,140,60,40,40,100,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Tergel Khurelkhuu,Second,Odbileg Khayankhyarvaa,2,12,LOST,60,140,41,100,,,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Odbileg Khayankhyarvaa,First,Tergel Khurelkhuu,2,14,WON,96,60,180,79,86,,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Tergel Khurelkhuu,First,Odbileg Khayankhyarvaa,3,14,WON,45,140,140,140,36,,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Odbileg Khayankhyarvaa,Second,Tergel Khurelkhuu,3,12,LOST,43,44,78,21,,,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Tergel Khurelkhuu,Second,Odbileg Khayankhyarvaa,4,15,WON,85,180,43,123,70,,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Odbileg Khayankhyarvaa,First,Tergel Khurelkhuu,4,15,LOST,45,59,41,84,38,,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Tergel Khurelkhuu,First,Odbileg Khayankhyarvaa,5,15,WON,60,180,140,45,76,,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/Oqh5mo8doDp3,Odbileg Khayankhyarvaa,Second,Tergel Khurelkhuu,5,12,LOST,100,50,41,100,,,,,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/mHk02c3QbKB0,George Bamber,First,Charlie Hardie,1,27,WON,26,55,100,34,60,86,24,76,40,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/mHk02c3QbKB0,Charlie Hardie,Second,George Bamber,1,24,LOST,42,81,71,60,61,60,86,30,,,
Wood Green,,,23/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/mHk02c3QbKB0,George Bamber,Second,Charlie Hardie,2,30,LOST,39,58,54,72,58,40,95,80,0,3,
