Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Edgar Smith-Canham,Second,Norbert Nemeth,1,18,LOST,77,32,76,12,60,85,,,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Norbert Nemeth,First,Edgar Smith-Canham,1,21,WON,100,60,81,140,44,60,16,,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Edgar Smith-Canham,First,Norbert Nemeth,2,15,LOST,65,26,44,45,95,,,,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Norbert Nemeth,Second,Edgar Smith-Canham,2,13,WON,180,83,96,122,20,,,,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Edgar Smith-Canham,Second,Norbert Nemeth,3,30,WON,15,55,77,36,140,135,19,18,0,6,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Norbert Nemeth,First,Edgar Smith-Canham,3,30,LOST,26,30,27,43,45,83,44,49,95,39,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Edgar Smith-Canham,First,Norbert Nemeth,4,28,WON,66,100,96,60,17,44,44,50,12,12,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Norbert Nemeth,Second,Edgar Smith-Canham,4,27,LOST,81,58,60,126,66,43,29,30,4,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Edgar Smith-Canham,Second,Norbert Nemeth,5,27,LOST,7,41,83,81,30,140,51,28,30,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/YjwVK9YG4Qpt,Norbert Nemeth,First,Edgar Smith-Canham,5,29,WON,40,55,70,95,28,44,78,42,9,40,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/Cj6Wj8qUd157,Charlie Green,First,Stephen Henry,1,15,WON,44,137,140,60,120,,,,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/Cj6Wj8qUd157,Stephen Henry,Second,Charlie Green,1,12,LOST,53,36,26,39,,,,,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/Cj6Wj8qUd157,Charlie Green,Second,Stephen Henry,2,18,WON,97,85,58,180,27,54,,,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/Cj6Wj8qUd157,Stephen Henry,First,Charlie Green,2,18,LOST,50,45,80,26,30,60,,,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/Cj6Wj8qUd157,Charlie Green,First,Stephen Henry,3,25,WON,9,26,134,60,60,42,40,80,50,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/Cj6Wj8qUd157,Stephen Henry,Second,Charlie Green,3,24,LOST,1,45,31,60,30,60,65,45,,,,,,,,
Morden,,,16/02/2025,Group 1,https://www.dartsatlas.com/matches/Z04MyQZ4xkyd,Edgar Smith-Canham,First,Charlie Green,1,18,LOST,100,85,61,17,21,60,,,,,,,,,,
