Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/4W9o0Kmqggzt,Connor Merrick,Second,Rob Message,4,16,WON,180,140,95,42,24,20,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/1JinhnJbgj2T,Harry Sheridan,Second,Rob Message,1,30,LOST,66,30,37,26,30,85,37,7,41,24,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/1JinhnJbgj2T,Rob Message,First,Harry Sheridan,1,31,WON,43,60,45,59,60,41,60,90,23,10,10,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/1JinhnJbgj2T,Harry Sheridan,First,Rob Message,2,27,LOST,9,65,32,111,30,41,45,18,92,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/1JinhnJbgj2T,Rob Message,Second,Harry Sheridan,2,26,WON,60,45,100,82,180,18,12,0,4,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/1JinhnJbgj2T,Harry Sheridan,Second,Rob Message,3,24,LOST,30,28,9,76,26,44,45,37,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/1JinhnJbgj2T,Rob Message,First,Harry Sheridan,3,25,WON,60,55,140,82,82,74,0,0,8,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/6oeFwRBPCgW4,Charlie Green,First,Connor Merrick,1,19,WON,125,96,41,96,43,78,22,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/6oeFwRBPCgW4,Connor Merrick,Second,Charlie Green,1,18,LOST,85,95,60,45,47,97,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/6oeFwRBPCgW4,Charlie Green,Second,Connor Merrick,2,21,WON,22,39,140,59,100,117,24,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/6oeFwRBPCgW4,Connor Merrick,First,Charlie Green,2,21,LOST,44,100,100,26,85,22,37,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/6oeFwRBPCgW4,Charlie Green,First,Connor Merrick,3,33,LOST,59,43,98,23,45,33,95,39,0,60,0,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/6oeFwRBPCgW4,Connor Merrick,Second,Charlie Green,3,33,WON,43,26,55,85,59,81,136,0,8,0,8,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/6oeFwRBPCgW4,Charlie Green,Second,Connor Merrick,4,25,WON,60,100,96,95,56,21,33,20,20,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/6oeFwRBPCgW4,Connor Merrick,First,Charlie Green,4,27,LOST,38,41,47,66,36,41,100,82,32,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/MsfJ9tDy32ND,Connor Merrick,First,Harry Sheridan,1,16,WON,95,100,140,60,74,32,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/MsfJ9tDy32ND,Harry Sheridan,Second,Connor Merrick,1,15,LOST,22,80,26,81,60,,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/MsfJ9tDy32ND,Connor Merrick,Second,Harry Sheridan,2,31,WON,45,58,40,30,58,125,41,73,0,21,10,,,,,
