Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/1bVxhR4cwL3C,Jono Harding,Second,Darryl Pilgrim,1,15,LOST,19,38,32,65,61,,,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/1bVxhR4cwL3C,Darryl Pilgrim,First,Jono Harding,1,17,WON,96,140,84,40,109,32,,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/1bVxhR4cwL3C,Jono Harding,First,Darryl Pilgrim,2,24,LOST,30,41,28,41,55,34,42,60,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/1bVxhR4cwL3C,Darryl Pilgrim,Second,Jono Harding,2,23,WON,79,48,96,100,42,96,0,40,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/9enk3RrExYqD,Matthew Kiernan,First,Ryan Cross,1,32,WON,100,80,140,58,11,72,30,0,5,1,4,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/9enk3RrExYqD,Ryan Cross,Second,Matthew Kiernan,1,30,LOST,45,43,43,60,82,41,87,80,10,0,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/9enk3RrExYqD,Matthew Kiernan,Second,Ryan Cross,2,21,LOST,58,70,81,85,40,95,22,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/9enk3RrExYqD,Ryan Cross,First,Matthew Kiernan,2,24,WON,28,85,45,140,43,75,80,5,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/9enk3RrExYqD,Matthew Kiernan,First,Ryan Cross,3,21,LOST,29,100,41,43,81,58,60,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/9enk3RrExYqD,Ryan Cross,Second,Matthew Kiernan,3,20,WON,80,29,84,77,57,134,40,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/pDJQ1caR0hMJ,Darryl Pilgrim,First,Caden Stroud,1,31,WON,60,80,41,81,59,100,50,14,8,4,4,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/pDJQ1caR0hMJ,Caden Stroud,Second,Darryl Pilgrim,1,30,LOST,4,43,26,22,80,58,60,38,68,52,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/pDJQ1caR0hMJ,Darryl Pilgrim,Second,Caden Stroud,2,17,WON,140,134,140,69,10,8,,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/pDJQ1caR0hMJ,Caden Stroud,First,Darryl Pilgrim,2,18,LOST,180,41,100,28,60,14,,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/M9dTAhQYrBYz,Ryan Cross,Second,Jono Harding,1,27,LOST,85,9,38,45,85,38,125,56,0,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/M9dTAhQYrBYz,Jono Harding,First,Ryan Cross,1,29,WON,36,80,45,41,66,47,34,78,38,36,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/M9dTAhQYrBYz,Ryan Cross,First,Jono Harding,2,21,WON,97,13,60,119,91,81,40,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/M9dTAhQYrBYz,Jono Harding,Second,Ryan Cross,2,18,LOST,21,45,30,16,47,26,,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/M9dTAhQYrBYz,Ryan Cross,Second,Jono Harding,3,25,WON,40,140,40,72,50,27,37,55,40,,,,,,,,,,,
Redhill,,,02/05/2025,Group 4,https://www.dartsatlas.com/matches/M9dTAhQYrBYz,Jono Harding,First,Ryan Cross,3,27,LOST,28,45,84,60,34,90,45,43,32,,,,,,,,,,,
