Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,First,Nick Ellis,1,20,WON,55,45,85,140,40,85,51,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,Second,Paul Tudor,1,18,LOST,100,60,40,57,100,98,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,Second,Nick Ellis,2,21,WON,100,85,60,100,60,80,16,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,First,Paul Tudor,2,21,LOST,131,100,60,60,58,52,2,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,First,Nick Ellis,3,18,WON,45,100,100,85,97,74,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,Second,Paul Tudor,3,15,LOST,60,100,100,60,165,,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,Second,Nick Ellis,4,18,LOST,41,45,60,85,45,58,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,First,Paul Tudor,4,19,WON,60,100,60,57,180,12,32,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,First,Nick Ellis,5,18,WON,100,100,100,44,45,112,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,Second,Paul Tudor,5,15,LOST,100,45,100,100,140,,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,Second,Nick Ellis,6,15,LOST,100,60,100,100,40,,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,First,Paul Tudor,6,16,WON,57,140,85,100,99,20,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,First,Nick Ellis,7,18,LOST,60,140,45,100,45,79,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,Second,Paul Tudor,7,18,WON,100,100,55,96,75,75,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,Second,Nick Ellis,8,18,LOST,60,60,45,95,91,75,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,First,Paul Tudor,8,20,WON,60,140,58,81,94,52,16,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,First,Nick Ellis,9,18,LOST,41,60,60,60,100,38,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,Second,Paul Tudor,9,18,WON,81,60,100,44,88,128,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Paul Tudor,Second,Nick Ellis,10,18,LOST,100,100,81,60,45,95,,,
Morden,,,09/03/2025,Final,https://www.dartsatlas.com/matches/kda34e4tTZi7,Nick Ellis,First,Paul Tudor,10,21,WON,140,60,100,100,61,26,14,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Paul Tudor,First,Sean Lahiff,1,22,WON,100,55,100,100,24,65,23,34,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Sean Lahiff,Second,Paul Tudor,1,21,LOST,53,60,60,100,85,40,29,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Paul Tudor,Second,Sean Lahiff,2,18,LOST,100,180,45,100,56,0,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Sean Lahiff,First,Paul Tudor,2,19,WON,100,63,64,104,60,94,16,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Paul Tudor,First,Sean Lahiff,3,27,LOST,60,45,85,38,38,85,60,74,0
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Sean Lahiff,Second,Paul Tudor,3,27,WON,45,41,60,39,45,45,98,88,40
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Paul Tudor,Second,Sean Lahiff,4,23,WON,95,95,60,100,57,54,0,40,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Sean Lahiff,First,Paul Tudor,4,24,LOST,41,100,60,45,41,28,85,49,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Paul Tudor,First,Sean Lahiff,5,20,WON,45,100,100,30,30,140,56,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Sean Lahiff,Second,Paul Tudor,5,18,LOST,60,60,85,100,132,32,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Paul Tudor,Second,Sean Lahiff,6,23,WON,60,41,81,60,85,98,36,40,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Sean Lahiff,First,Paul Tudor,6,24,LOST,60,96,60,122,88,55,0,15,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Paul Tudor,First,Sean Lahiff,7,13,WON,140,100,140,97,24,,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/iKwFSeKdcjQh,Sean Lahiff,Second,Paul Tudor,7,12,LOST,81,140,139,41,,,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Nick Ellis,First,Kurtis Atkins,1,16,WON,100,60,180,45,100,16,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Kurtis Atkins,Second,Nick Ellis,1,15,LOST,98,59,99,60,41,,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Nick Ellis,Second,Kurtis Atkins,2,20,WON,60,100,140,60,40,61,40,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Kurtis Atkins,First,Nick Ellis,2,21,LOST,58,59,140,60,98,38,32,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Nick Ellis,First,Kurtis Atkins,3,20,WON,134,60,41,58,100,52,56,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Kurtis Atkins,Second,Nick Ellis,3,18,LOST,41,60,60,100,58,100,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Nick Ellis,Second,Kurtis Atkins,4,14,WON,100,123,100,140,38,,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Kurtis Atkins,First,Nick Ellis,4,15,LOST,68,41,81,83,66,,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Nick Ellis,First,Kurtis Atkins,5,15,LOST,134,45,83,47,100,,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Kurtis Atkins,Second,Nick Ellis,5,15,WON,41,60,180,140,80,,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Nick Ellis,Second,Kurtis Atkins,6,18,WON,121,40,180,45,113,2,,,
Morden,,,09/03/2025,Semi-Final,https://www.dartsatlas.com/matches/v8lIHhRSV9Ra,Kurtis Atkins,First,Nick Ellis,6,18,LOST,100,57,121,59,59,85,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/kJSZrOb3zOFq,Paul Tudor,Second,Jake Mills,1,15,WON,60,140,100,127,74,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/kJSZrOb3zOFq,Jake Mills,First,Paul Tudor,1,15,LOST,85,39,26,59,81,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/kJSZrOb3zOFq,Paul Tudor,First,Jake Mills,2,18,WON,60,100,100,60,60,121,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/kJSZrOb3zOFq,Jake Mills,Second,Paul Tudor,2,15,LOST,39,81,59,26,140,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/kJSZrOb3zOFq,Paul Tudor,Second,Jake Mills,3,24,WON,60,100,100,100,28,41,56,16,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/kJSZrOb3zOFq,Jake Mills,First,Paul Tudor,3,24,LOST,60,45,41,43,57,94,49,96,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/kJSZrOb3zOFq,Paul Tudor,First,Jake Mills,4,18,WON,140,100,60,99,70,32,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/kJSZrOb3zOFq,Jake Mills,Second,Paul Tudor,4,15,LOST,100,85,45,96,28,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Shane Edwards,Second,Sean Lahiff,1,15,LOST,43,96,96,96,80,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Sean Lahiff,First,Shane Edwards,1,18,WON,140,118,41,60,42,100,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Shane Edwards,First,Sean Lahiff,2,15,WON,100,180,50,95,76,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Sean Lahiff,Second,Shane Edwards,2,12,LOST,100,41,44,81,,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Shane Edwards,Second,Sean Lahiff,3,15,LOST,43,80,58,51,59,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Sean Lahiff,First,Shane Edwards,3,18,WON,81,140,23,140,93,24,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Shane Edwards,First,Sean Lahiff,4,23,WON,70,68,23,125,85,20,50,60,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Sean Lahiff,Second,Shane Edwards,4,21,LOST,26,60,45,43,100,91,76,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Shane Edwards,Second,Sean Lahiff,5,21,LOST,85,95,91,60,63,47,40,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Sean Lahiff,First,Shane Edwards,5,22,WON,60,100,40,45,78,58,80,40,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Shane Edwards,First,Sean Lahiff,6,21,LOST,118,100,100,60,43,31,33,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/EazIsmtSccmS,Sean Lahiff,Second,Shane Edwards,6,21,WON,44,81,40,100,45,95,96,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/OX3KzJfyf214,Nick Ellis,First,John Arnold,1,18,WON,100,100,135,44,72,50,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/OX3KzJfyf214,John Arnold,Second,Nick Ellis,1,15,LOST,26,26,60,82,81,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/OX3KzJfyf214,Nick Ellis,Second,John Arnold,2,19,WON,100,45,100,60,140,16,40,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/OX3KzJfyf214,John Arnold,First,Nick Ellis,2,21,LOST,15,41,40,60,100,60,43,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/OX3KzJfyf214,Nick Ellis,First,John Arnold,3,18,WON,44,180,34,100,55,88,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/OX3KzJfyf214,John Arnold,Second,Nick Ellis,3,15,LOST,60,100,60,60,140,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/OX3KzJfyf214,Nick Ellis,Second,John Arnold,4,21,WON,60,60,95,60,96,83,47,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/OX3KzJfyf214,John Arnold,First,Nick Ellis,4,21,LOST,42,85,99,100,41,43,41,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Kurtis Atkins,First,Paul Upfold,1,18,LOST,100,54,79,28,140,60,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Paul Upfold,Second,Kurtis Atkins,1,17,WON,140,57,85,59,100,60,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Kurtis Atkins,Second,Paul Upfold,2,21,LOST,58,43,24,49,42,93,168,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Paul Upfold,First,Kurtis Atkins,2,24,WON,54,100,82,45,30,44,90,56,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Kurtis Atkins,First,Paul Upfold,3,14,WON,177,44,60,180,40,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Paul Upfold,Second,Kurtis Atkins,3,12,LOST,81,60,140,29,,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Kurtis Atkins,Second,Paul Upfold,4,15,LOST,42,60,44,41,100,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Paul Upfold,First,Kurtis Atkins,4,17,WON,95,55,100,140,76,35,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Kurtis Atkins,First,Paul Upfold,5,22,WON,96,80,58,125,47,55,20,20,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Paul Upfold,Second,Kurtis Atkins,5,21,LOST,45,45,41,69,125,100,56,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Kurtis Atkins,Second,Paul Upfold,6,14,WON,93,80,140,100,88,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Paul Upfold,First,Kurtis Atkins,6,15,LOST,137,87,45,25,81,,,,
Morden,,,09/03/2025,Quarter-Final,https://www.dartsatlas.com/matches/e60tqk7aa86S,Kurtis Atkins,First,Paul Upfold,7,18,WON,83,94,57,60,140,67,,,
