Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/rkjYXbfJixwD,Steve Henry,First,Troy Power,1,34,WON,41,120,28,45,47,28,130,22,26,0,12,2,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/rkjYXbfJixwD,Troy Power,Second,Steve Henry,1,33,LOST,56,30,100,55,60,140,40,0,13,0,3,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/rkjYXbfJixwD,Steve Henry,Second,Troy Power,2,30,LOST,57,59,17,47,23,41,33,40,55,27,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/rkjYXbfJixwD,Troy Power,First,Steve Henry,2,31,WON,83,58,60,43,45,55,100,37,10,6,4,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/rkjYXbfJixwD,Steve Henry,First,Troy Power,3,31,WON,139,60,87,58,46,39,40,0,16,0,16,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/rkjYXbfJixwD,Troy Power,Second,Steve Henry,3,30,LOST,41,59,45,15,85,40,40,46,41,84,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/78uVL0KvRU2k,Tyler Holmes,Second,Charlie Green,1,24,LOST,52,45,44,77,78,22,57,46,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/78uVL0KvRU2k,Charlie Green,First,Tyler Holmes,1,25,WON,36,59,63,100,137,90,0,12,4,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/78uVL0KvRU2k,Tyler Holmes,First,Charlie Green,2,27,LOST,62,41,42,24,77,43,60,100,20,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/78uVL0KvRU2k,Charlie Green,Second,Tyler Holmes,2,25,WON,60,39,96,27,40,96,87,16,40,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/hnyP9EsuPWQe,Kian Dominguez,Second,Shane Edwards,1,18,LOST,60,59,82,41,42,57,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/hnyP9EsuPWQe,Shane Edwards,First,Kian Dominguez,1,19,WON,43,60,100,38,85,137,38,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/hnyP9EsuPWQe,Kian Dominguez,First,Shane Edwards,2,16,WON,100,140,60,135,58,8,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/hnyP9EsuPWQe,Shane Edwards,Second,Kian Dominguez,2,15,LOST,60,81,84,59,97,,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/hnyP9EsuPWQe,Kian Dominguez,Second,Shane Edwards,3,15,LOST,60,47,60,40,96,,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/hnyP9EsuPWQe,Shane Edwards,First,Kian Dominguez,3,18,WON,45,100,46,140,90,80,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/7Y6ZfdAXbYwJ,Steve Henry,Second,Tyler Holmes,1,24,LOST,45,33,57,45,45,60,99,59,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/7Y6ZfdAXbYwJ,Tyler Holmes,First,Steve Henry,1,25,WON,56,64,45,100,60,82,28,30,36,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/7Y6ZfdAXbYwJ,Steve Henry,First,Tyler Holmes,2,25,WON,81,35,60,26,88,95,98,0,18,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/7Y6ZfdAXbYwJ,Tyler Holmes,Second,Steve Henry,2,24,LOST,44,100,9,140,38,78,37,23,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/7Y6ZfdAXbYwJ,Steve Henry,Second,Tyler Holmes,3,23,WON,100,30,99,45,57,85,44,41,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/7Y6ZfdAXbYwJ,Tyler Holmes,First,Steve Henry,3,24,LOST,100,43,39,81,55,81,44,0,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/6nDybQk6F2SH,Troy Power,First,Shane Edwards,1,24,LOST,59,60,85,100,100,41,36,10,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/6nDybQk6F2SH,Shane Edwards,Second,Troy Power,1,23,WON,131,96,60,56,60,86,6,6,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/6nDybQk6F2SH,Troy Power,Second,Shane Edwards,2,15,WON,125,125,41,100,110,,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/6nDybQk6F2SH,Shane Edwards,First,Troy Power,2,15,LOST,60,60,120,85,42,,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/6nDybQk6F2SH,Troy Power,First,Shane Edwards,3,18,LOST,58,60,100,25,25,95,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/6nDybQk6F2SH,Shane Edwards,Second,Troy Power,3,16,WON,121,137,97,58,56,32,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/2jikyhaCvhgf,Charlie Green,First,Kian Dominguez,1,24,LOST,100,21,81,45,98,45,37,34,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/2jikyhaCvhgf,Kian Dominguez,Second,Charlie Green,1,23,WON,85,81,44,96,66,86,25,18,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/2jikyhaCvhgf,Charlie Green,Second,Kian Dominguez,2,21,LOST,60,77,60,60,80,54,35,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/2jikyhaCvhgf,Kian Dominguez,First,Charlie Green,2,23,WON,55,60,95,60,62,59,92,18,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/3wC3xLkoPLBx,Shane Edwards,First,Steve Henry,1,21,LOST,95,77,45,100,140,12,16,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/3wC3xLkoPLBx,Steve Henry,Second,Shane Edwards,1,21,WON,140,43,60,60,98,60,40,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/3wC3xLkoPLBx,Shane Edwards,Second,Steve Henry,2,21,LOST,40,83,41,137,96,56,16,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/3wC3xLkoPLBx,Steve Henry,First,Shane Edwards,2,24,WON,100,97,41,60,34,35,94,40,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/wlwY3TlCkuKs,Troy Power,First,Charlie Green,1,15,LOST,83,56,140,45,59,,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/wlwY3TlCkuKs,Charlie Green,Second,Troy Power,1,15,WON,140,60,100,85,116,,,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/wlwY3TlCkuKs,Troy Power,Second,Charlie Green,2,19,WON,59,60,100,58,100,94,30,,,,,,,,
Morden,,,21-09-2025,Group 1,https://www.dartsatlas.com/matches/wlwY3TlCkuKs,Charlie Green,First,Troy Power,2,21,LOST,26,59,68,100,60,100,63,,,,,,,,
