Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,Tamas Nagy,Second,JJ Jameson,1,22,WON,180,46,100,60,59,16,30,10,,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,JJ Jameson,First,Tamas Nagy,1,24,LOST,45,45,60,45,140,60,46,46,,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,Tamas Nagy,First,JJ Jameson,2,24,LOST,100,140,41,100,28,36,24,0,,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,JJ Jameson,Second,Tamas Nagy,2,22,WON,41,45,140,60,95,60,20,40,,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,Tamas Nagy,Second,JJ Jameson,3,26,WON,24,81,81,59,60,26,60,54,56,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,JJ Jameson,First,Tamas Nagy,3,27,LOST,100,100,24,60,137,35,22,0,18,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,Tamas Nagy,First,JJ Jameson,4,31,WON,46,42,41,44,60,60,100,52,40,8,8
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,JJ Jameson,Second,Tamas Nagy,4,30,LOST,41,45,27,60,55,24,85,45,54,33,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,Tamas Nagy,Second,JJ Jameson,5,24,WON,43,59,68,60,59,42,98,72,,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,JJ Jameson,First,Tamas Nagy,5,24,LOST,85,40,24,85,45,58,43,97,,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,Tamas Nagy,First,JJ Jameson,6,26,WON,60,123,42,28,26,79,60,45,38,,
Wood Green,,,23/05/2025,Final,https://www.dartsatlas.com/matches/gAb7k77JGvHm,JJ Jameson,Second,Tamas Nagy,6,24,LOST,80,41,60,41,45,140,30,40,,,
