Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,First,Steve Henry,1,27,LOST,81,60,60,41,40,59,22,39,39,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,Second,Joe ephgrave,1,26,WON,58,79,59,87,38,100,60,10,10,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,Second,Steve Henry,2,27,LOST,60,83,43,28,26,57,100,38,57,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,First,Joe ephgrave,2,28,WON,76,58,97,95,45,28,46,16,30,10
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,First,Steve Henry,3,26,WON,43,60,41,100,60,45,41,95,16,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,Second,Joe ephgrave,3,24,LOST,38,95,41,79,27,51,45,79,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,Second,Steve Henry,4,17,WON,60,42,140,81,95,83,,,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,First,Joe ephgrave,4,18,LOST,57,58,58,57,38,45,,,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,First,Steve Henry,5,24,LOST,81,59,100,57,34,60,43,59,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,Second,Joe ephgrave,5,22,WON,31,67,29,100,140,84,34,16,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,Second,Steve Henry,6,22,WON,140,57,80,80,92,20,24,8,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,First,Joe ephgrave,6,24,LOST,28,57,83,41,59,58,97,32,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,First,Steve Henry,7,18,WON,59,140,92,132,38,40,,,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,Second,Joe ephgrave,7,15,LOST,83,95,45,67,57,,,,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,Second,Steve Henry,8,18,LOST,60,85,42,24,100,40,,,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,First,Joe ephgrave,8,21,WON,79,95,33,43,95,100,56,,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,First,Steve Henry,9,30,LOST,26,27,81,85,43,41,55,60,3,40
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,Second,Joe ephgrave,9,30,WON,57,95,45,98,57,43,46,20,20,20
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,Second,Steve Henry,10,21,WON,93,46,60,70,42,140,50,,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,First,Joe ephgrave,10,21,LOST,41,95,58,45,57,95,40,,,
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Joe ephgrave,First,Steve Henry,11,30,LOST,59,43,28,59,57,22,26,59,58,65
Wood Green,,,14/06/2025,Final,https://www.dartsatlas.com/matches/tQbUgsWKaojX,Steve Henry,Second,Joe ephgrave,11,28,WON,57,43,57,79,63,82,44,36,0,40
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Charlie Green,Second,Joe ephgrave,1,18,LOST,58,58,41,42,54,140,,,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Joe ephgrave,First,Charlie Green,1,21,WON,123,60,100,85,24,40,69,,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Charlie Green,First,Joe ephgrave,2,25,WON,71,60,123,83,58,39,27,0,40,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Joe ephgrave,Second,Charlie Green,2,24,LOST,27,81,140,99,64,58,16,12,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Charlie Green,Second,Joe ephgrave,3,18,LOST,24,95,121,26,56,33,,,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Joe ephgrave,First,Charlie Green,3,21,WON,83,59,85,100,43,91,40,,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Charlie Green,First,Joe ephgrave,4,24,WON,100,40,134,60,102,25,35,5,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Joe ephgrave,Second,Charlie Green,4,21,LOST,62,41,55,100,81,26,24,,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Charlie Green,Second,Joe ephgrave,5,24,LOST,60,60,46,96,43,96,44,36,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Joe ephgrave,First,Charlie Green,5,27,WON,43,81,38,60,43,61,43,82,50,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Charlie Green,First,Joe ephgrave,6,20,WON,80,140,45,125,41,10,60,,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Joe ephgrave,Second,Charlie Green,6,18,LOST,85,41,55,40,100,60,,,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Charlie Green,Second,Joe ephgrave,7,15,LOST,100,60,100,40,58,,,,,
Wood Green,,,14/06/2025,Semi-Final,https://www.dartsatlas.com/matches/13v98pJuEfUD,Joe ephgrave,First,Charlie Green,7,18,WON,66,96,100,42,93,104,,,,
