Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Tom Riding,Second,Liam Saxon,1,15,LOST,100,117,61,97,58,,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Liam Saxon,First,Tom Riding,1,17,WON,121,40,96,134,50,60,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Tom Riding,First,Liam Saxon,2,15,LOST,140,41,140,100,26,,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Liam Saxon,Second,Tom Riding,2,13,WON,95,180,86,100,40,,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Tom Riding,Second,Liam Saxon,3,15,LOST,100,83,83,115,70,,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Liam Saxon,First,Tom Riding,3,18,WON,93,99,59,42,140,68,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Tom Riding,First,Liam Saxon,4,18,WON,140,100,60,60,77,64,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Liam Saxon,Second,Tom Riding,4,15,LOST,58,70,58,100,134,,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Tom Riding,Second,Liam Saxon,5,15,LOST,95,100,22,43,40,,,,,,,,,,,
Ruislip,,,23-11-2025,Final,https://www.dartsatlas.com/matches/5AGpzsDKUEz3,Liam Saxon,First,Tom Riding,5,18,WON,59,100,59,140,59,84,,,,,,,,,,
Ruislip,,,23-11-2025,Semi-Final,https://www.dartsatlas.com/matches/0P5qa8uazH4q,Steve Henry,Second,Tom Riding,1,21,LOST,140,45,60,100,40,85,3,,,,,,,,,
Ruislip,,,23-11-2025,Semi-Final,https://www.dartsatlas.com/matches/0P5qa8uazH4q,Tom Riding,First,Steve Henry,1,23,WON,85,45,39,78,100,134,0,20,,,,,,,,
