Venue,Division,Season,Date,Round,URL,Player,Opponent,First Thrower,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,Second,9,18,LOST,37,49,60,55,58,60,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,First,9,19,WON,85,60,95,97,31,125,8,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,First,10,22,WON,81,81,35,140,65,25,34,40,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,Second,10,21,LOST,39,42,80,78,58,122,50,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Chris King,Oscar King,Second,11,15,LOST,28,81,60,85,95,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ghc2UzyvOiGE,Oscar King,Chris King,First,11,18,WON,140,60,41,100,72,88,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,First,1,29,WON,41,96,41,65,58,55,117,21,5,2,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,Second,1,27,LOST,5,42,34,29,84,42,41,57,82,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,Second,2,23,WON,58,60,43,98,60,100,74,8,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,First,2,24,LOST,60,80,40,45,43,119,79,11,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,First,3,22,WON,57,82,45,85,59,97,56,20,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,Second,3,21,LOST,45,7,36,96,81,95,13,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,Second,4,24,WON,61,140,100,95,73,7,0,25,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,First,4,24,LOST,122,100,45,81,80,48,21,0,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,First,5,21,LOST,85,59,45,45,85,44,98,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,Second,5,19,WON,21,97,45,94,122,108,14,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,Second,6,18,LOST,100,41,135,84,88,37,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,First,6,20,WON,60,100,70,85,36,92,58,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,First,7,36,LOST,57,100,82,100,45,93,0,12,9,0,0,0,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,Second,7,34,WON,44,84,45,85,85,58,13,69,9,1,4,4,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,Second,8,20,WON,85,100,96,60,100,40,20,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,First,8,21,LOST,25,100,98,30,40,41,22,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,First,9,24,WON,60,99,60,58,38,60,83,43,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,Second,9,21,LOST,86,22,41,85,59,21,140,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,Second,10,29,WON,96,60,59,40,30,55,30,83,8,40,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,First,10,30,LOST,43,28,129,60,122,55,24,0,10,0,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,First,11,21,LOST,57,85,100,59,60,30,90,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,Second,11,20,WON,19,180,81,80,45,56,40,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,Second,12,24,LOST,85,100,60,28,85,32,83,25,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,First,12,25,WON,30,96,46,83,60,60,42,46,38,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Ryan Payne,Matt Cannon,First,13,22,WON,85,140,106,45,20,45,50,10,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Vhs87XweNf8o,Matt Cannon,Ryan Payne,Second,13,21,LOST,36,99,99,40,44,69,28,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,First,1,21,WON,131,80,21,59,38,80,92,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,Second,1,18,LOST,45,45,91,81,46,57,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,Second,2,20,WON,81,42,81,135,100,30,32,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,First,2,21,LOST,65,95,140,51,98,48,2,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,First,3,24,LOST,100,75,59,24,83,29,41,65,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,Second,3,24,WON,91,42,140,32,45,78,48,25,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,Second,4,28,WON,23,60,60,81,46,44,133,38,12,4,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,First,4,30,LOST,100,60,31,69,58,30,47,26,50,0,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,First,5,21,LOST,100,100,60,60,41,60,40,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,Second,5,20,WON,43,97,123,57,41,92,48,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,Second,6,21,LOST,39,56,60,90,46,43,31,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,First,6,22,WON,57,51,53,85,95,60,60,40,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,First,7,21,LOST,60,45,83,121,81,55,24,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,Second,7,20,WON,119,60,81,58,140,8,35,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,Second,8,15,LOST,60,60,45,28,58,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,First,8,18,WON,57,61,140,137,62,44,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,First,9,22,WON,60,60,100,125,42,108,4,2,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,Second,9,21,LOST,84,81,100,44,42,100,30,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,Second,10,24,LOST,81,56,100,77,41,57,28,29,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,First,10,26,WON,31,25,26,140,59,140,40,32,8,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,First,11,16,WON,43,100,66,140,136,16,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,Second,11,15,LOST,84,100,41,28,11,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,Second,12,18,LOST,140,57,37,140,86,17,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,First,12,19,WON,69,30,97,140,95,30,40,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,First,13,20,WON,100,81,81,60,59,96,24,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,Second,13,18,LOST,100,57,96,121,34,25,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,James Willcox,Matt Cannon,Second,14,24,LOST,96,58,59,80,45,57,10,58,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/v9xcfWbCaNgI,Matt Cannon,James Willcox,First,14,26,WON,41,25,81,81,59,58,45,27,84,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,First,1,24,WON,31,44,43,81,54,42,101,105,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,Second,1,21,LOST,85,81,60,105,131,7,16,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,Second,2,12,LOST,96,44,21,60,,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,First,2,14,WON,77,100,85,180,59,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,First,3,24,LOST,60,32,41,47,41,45,85,98,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,Second,3,24,WON,45,60,26,27,60,60,140,83,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,Second,4,24,LOST,85,47,47,95,85,44,26,32,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,First,4,25,WON,100,59,121,45,95,66,11,0,4,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,First,5,23,WON,81,133,57,100,44,32,34,20,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,Second,5,21,LOST,100,58,100,57,60,46,60,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,Second,6,18,LOST,95,95,57,43,59,40,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,First,6,21,WON,46,85,134,58,44,58,76,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,First,7,21,LOST,21,41,84,100,99,15,45,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,Second,7,21,WON,92,60,85,94,57,97,16,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,Second,8,18,LOST,43,85,180,29,92,48,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,First,8,20,WON,70,60,52,125,100,54,40,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,First,9,18,LOST,52,60,81,60,55,59,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,Second,9,17,WON,82,100,180,59,60,20,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Paul Upfold,Oscar King,Second,10,12,LOST,180,45,84,100,,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/ttDzloVl1WyY,Oscar King,Paul Upfold,First,10,14,WON,85,180,100,82,54,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Ryan Payne,Nick Holman,Second,1,27,WON,85,77,85,140,40,58,12,0,4,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Nick Holman,Ryan Payne,First,1,27,LOST,0,99,60,30,40,105,97,0,58,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Ryan Payne,Nick Holman,First,2,19,WON,100,140,60,45,60,80,16,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Nick Holman,Ryan Payne,Second,2,18,LOST,100,85,100,100,40,58,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Ryan Payne,Nick Holman,Second,3,15,LOST,84,83,58,60,42,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Nick Holman,Ryan Payne,First,3,17,WON,60,100,140,100,36,65,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Ryan Payne,Nick Holman,First,4,18,WON,85,58,100,100,135,23,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Nick Holman,Ryan Payne,Second,4,15,LOST,81,140,85,45,134,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Ryan Payne,Nick Holman,Second,5,20,WON,40,32,60,95,46,140,88,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Nick Holman,Ryan Payne,First,5,21,LOST,98,39,100,45,97,97,21,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/MLCZ2faYeIyZ,Ryan Payne,Nick Holman,First,6,22,WON,60,45,45,100,60,59,104,28,,,,,,,,
