Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Shane Edwards,Second,Bradley OConnor,1,17,WON,131,60,96,96,58,60,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Bradley OConnor,First,Shane Edwards,1,18,LOST,60,40,135,60,55,72,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Shane Edwards,First,Bradley OConnor,2,12,LOST,57,80,60,140,,,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Bradley OConnor,Second,Shane Edwards,2,11,WON,180,180,60,81,,,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Shane Edwards,Second,Bradley OConnor,3,18,LOST,96,60,60,100,121,48,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Bradley OConnor,First,Shane Edwards,3,19,WON,57,125,41,60,96,96,26,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Shane Edwards,First,Bradley OConnor,4,21,LOST,84,125,95,53,46,74,20,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Bradley OConnor,Second,Shane Edwards,4,21,WON,134,96,40,91,88,44,8,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Shane Edwards,Second,Bradley OConnor,5,12,LOST,100,45,43,77,,,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Bradley OConnor,First,Shane Edwards,5,13,WON,140,100,135,86,40,,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Shane Edwards,First,Bradley OConnor,6,18,LOST,40,96,49,85,61,105,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Bradley OConnor,Second,Shane Edwards,6,17,WON,100,85,135,81,80,20,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Shane Edwards,Second,Bradley OConnor,7,17,WON,62,120,59,140,80,40,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Bradley OConnor,First,Shane Edwards,7,18,LOST,58,61,66,83,81,120,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Shane Edwards,First,Bradley OConnor,8,18,LOST,82,80,59,60,100,68,,,,,
Redhill,,,04/04/2025,Final,https://www.dartsatlas.com/matches/tySpXCEqUB3L,Bradley OConnor,Second,Shane Edwards,8,17,WON,58,100,100,134,93,16,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Shane Edwards,First,Charlie Sutherland,1,16,WON,69,58,180,82,96,16,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Charlie Sutherland,Second,Shane Edwards,1,15,LOST,140,41,99,44,44,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Shane Edwards,Second,Charlie Sutherland,2,20,WON,131,45,98,78,28,97,24,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Charlie Sutherland,First,Shane Edwards,2,21,LOST,45,42,41,45,58,41,180,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Shane Edwards,First,Charlie Sutherland,3,17,WON,81,85,85,45,135,70,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Charlie Sutherland,Second,Shane Edwards,3,15,LOST,125,55,81,58,45,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Shane Edwards,Second,Charlie Sutherland,4,18,LOST,180,26,30,133,92,0,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Charlie Sutherland,First,Shane Edwards,4,21,WON,60,41,140,60,85,59,56,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Shane Edwards,First,Charlie Sutherland,5,21,LOST,81,100,60,180,60,0,10,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Charlie Sutherland,Second,Shane Edwards,5,20,WON,140,96,46,95,44,60,20,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Shane Edwards,Second,Charlie Sutherland,6,19,WON,96,24,140,140,41,20,40,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Charlie Sutherland,First,Shane Edwards,6,21,LOST,43,100,140,58,60,25,55,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Shane Edwards,First,Charlie Sutherland,7,15,WON,60,136,121,80,104,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/SfTbemukEyzC,Charlie Sutherland,Second,Shane Edwards,7,12,LOST,43,120,100,180,,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,Second,Bradley OConnor,1,18,LOST,55,43,60,60,99,42,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,First,Nicky Jones,1,19,WON,60,60,123,78,60,88,32,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,First,Bradley OConnor,2,21,LOST,60,60,97,100,100,44,0,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,Second,Nicky Jones,2,19,WON,57,60,85,96,139,48,16,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,Second,Bradley OConnor,3,18,WON,86,60,140,72,87,56,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,First,Nicky Jones,3,18,LOST,51,60,66,100,140,35,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,First,Bradley OConnor,4,23,WON,60,100,125,100,44,24,16,32,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,Second,Nicky Jones,4,21,LOST,60,59,57,60,42,80,103,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,Second,Bradley OConnor,5,12,LOST,100,22,100,140,,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,First,Nicky Jones,5,14,WON,180,134,95,40,52,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,First,Bradley OConnor,6,21,WON,41,81,100,140,83,32,24,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,Second,Nicky Jones,6,18,LOST,26,81,140,60,43,91,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,Second,Bradley OConnor,7,12,LOST,100,140,100,95,,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,First,Nicky Jones,7,15,WON,180,55,59,100,107,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,First,Bradley OConnor,8,18,WON,48,100,81,125,83,64,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,Second,Nicky Jones,8,15,LOST,123,58,140,28,85,,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Nicky Jones,Second,Bradley OConnor,9,18,LOST,95,60,29,180,77,40,,,,,
Redhill,,,04/04/2025,Semi-Final,https://www.dartsatlas.com/matches/yzFesaB5ssXz,Bradley OConnor,First,Nicky Jones,9,19,WON,80,125,39,135,13,93,16,,,,
Redhill,,,04/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/GkoOnPEo8e1t,Shane Edwards,First,Robbie Collins,1,17,WON,120,135,84,60,70,32,,,,,
Redhill,,,04/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/GkoOnPEo8e1t,Robbie Collins,Second,Shane Edwards,1,15,LOST,60,140,85,45,83,,,,,,
Redhill,,,04/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/GkoOnPEo8e1t,Shane Edwards,Second,Robbie Collins,2,14,WON,140,100,140,57,64,,,,,,
Redhill,,,04/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/GkoOnPEo8e1t,Robbie Collins,First,Shane Edwards,2,15,LOST,120,60,60,41,82,,,,,,
Redhill,,,04/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/GkoOnPEo8e1t,Shane Edwards,First,Robbie Collins,3,21,WON,100,91,66,57,59,81,47,,,,
