Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,First,Edgar Znutins,1,25,WON,28,60,39,100,98,100,20,46,10,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,Second,Josh Hook,1,24,LOST,45,44,100,57,59,85,87,21,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,Second,Edgar Znutins,2,12,LOST,99,30,32,100,,,,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,First,Josh Hook,2,14,WON,83,99,137,134,48,,,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,First,Edgar Znutins,3,21,LOST,59,140,27,55,65,45,78,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,Second,Josh Hook,3,20,WON,60,85,48,100,96,40,72,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,Second,Edgar Znutins,4,18,LOST,140,60,81,41,45,77,,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,First,Josh Hook,4,20,WON,125,96,85,95,31,61,8,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,First,Edgar Znutins,5,16,WON,60,60,100,100,149,32,,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,Second,Josh Hook,5,15,LOST,140,100,131,90,35,,,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,Second,Edgar Znutins,6,21,WON,60,41,100,140,100,20,40,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,First,Josh Hook,6,21,LOST,60,77,26,40,100,100,80,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,First,Edgar Znutins,7,21,LOST,40,45,27,39,140,100,80,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,Second,Josh Hook,7,19,WON,93,84,60,81,57,98,28,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,Second,Edgar Znutins,8,18,LOST,100,85,43,39,80,60,,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,First,Josh Hook,8,20,WON,92,59,84,59,99,100,8,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Josh Hook,First,Edgar Znutins,9,18,LOST,115,60,41,41,100,92,,,,,,,
Ruislip,,,29/08/2025,Final,https://www.dartsatlas.com/matches/lBDKWnNrCw46,Edgar Znutins,Second,Josh Hook,9,18,WON,60,100,140,97,72,32,,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,First,Troy Power,1,20,WON,60,65,60,81,100,48,87,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,Second,Josh Hook,1,18,LOST,59,100,85,97,28,84,,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,Second,Troy Power,2,27,LOST,45,81,59,79,27,80,58,40,24,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,First,Josh Hook,2,28,WON,100,84,60,100,51,36,54,0,0,16,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,First,Troy Power,3,24,WON,58,83,80,83,59,43,59,36,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,Second,Josh Hook,3,21,LOST,93,15,43,59,45,100,27,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,Second,Troy Power,4,24,LOST,58,55,43,7,78,45,134,43,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,First,Josh Hook,4,26,WON,139,42,120,40,60,40,30,26,4,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,First,Troy Power,5,17,WON,61,60,100,99,121,60,,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,Second,Josh Hook,5,15,LOST,100,59,46,125,57,,,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,Second,Troy Power,6,18,LOST,37,41,29,60,85,100,,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,First,Josh Hook,6,21,WON,100,58,97,119,46,49,32,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,First,Troy Power,7,21,LOST,140,23,85,27,96,125,0,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,Second,Josh Hook,7,21,WON,41,85,140,81,58,40,56,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,Second,Troy Power,8,19,WON,60,40,86,100,85,106,24,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,First,Josh Hook,8,21,LOST,121,41,58,25,99,45,60,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Josh Hook,First,Troy Power,9,15,WON,180,59,81,60,121,,,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/vffXwIY5wfOe,Troy Power,Second,Josh Hook,9,12,LOST,78,58,100,58,,,,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/k3uIa54Vebut,Edgar Znutins,First,Clive Burge,1,21,WON,100,60,100,81,44,56,60,,,,,,
Ruislip,,,29/08/2025,Semi-Final,https://www.dartsatlas.com/matches/k3uIa54Vebut,Clive Burge,Second,Edgar Znutins,1,18,LOST,45,100,45,26,43,89,,,,,,,
