Venue,Division,Season,Date,Round,URL,Player,Opponent,First Thrower,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Michael Fitzgerald,Daryl Clarke,First,8,21,WON,140,60,39,80,85,39,58,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Daryl Clarke,Michael Fitzgerald,Second,8,18,LOST,60,100,111,99,41,54,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Michael Fitzgerald,Daryl Clarke,Second,9,24,LOST,60,41,45,95,43,40,59,40,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Daryl Clarke,Michael Fitzgerald,First,9,25,WON,60,41,100,80,45,76,39,40,20,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Michael Fitzgerald,Daryl Clarke,First,10,24,LOST,25,83,81,42,41,30,86,73,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Daryl Clarke,Michael Fitzgerald,Second,10,23,WON,100,100,100,59,28,49,24,41,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Michael Fitzgerald,Daryl Clarke,Second,11,21,WON,45,140,28,60,41,137,50,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Daryl Clarke,Michael Fitzgerald,First,11,21,LOST,45,55,59,60,82,41,24,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Michael Fitzgerald,Daryl Clarke,First,12,15,WON,100,100,125,100,76,,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Daryl Clarke,Michael Fitzgerald,Second,12,12,LOST,41,60,60,95,,,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Michael Fitzgerald,Daryl Clarke,Second,13,19,WON,85,81,100,85,95,15,40,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Daryl Clarke,Michael Fitzgerald,First,13,21,LOST,60,59,45,137,40,81,39,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Michael Fitzgerald,Daryl Clarke,First,14,22,WON,60,60,100,85,45,91,40,20,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/Q6XRjFolm7zk,Daryl Clarke,Michael Fitzgerald,Second,14,21,LOST,60,60,41,39,36,41,60,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,Second,1,24,LOST,45,45,85,41,60,120,85,15,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,First,1,27,WON,40,60,43,42,77,59,68,72,40,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,First,2,22,WON,60,100,45,60,125,86,13,12,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,Second,2,21,LOST,30,85,7,180,31,94,38,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,Second,3,23,WON,85,45,19,140,60,60,37,55,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,First,3,24,LOST,70,26,43,25,38,45,44,100,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,First,4,18,LOST,100,41,66,100,92,20,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,Second,4,18,WON,15,40,98,140,140,68,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,Second,5,12,LOST,30,45,32,45,,,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,First,5,15,WON,180,81,45,87,108,,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,First,6,33,LOST,22,68,100,43,100,100,52,0,0,12,2,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,Second,6,32,WON,55,26,25,100,45,100,82,48,15,0,5,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,Second,7,15,LOST,85,140,30,55,99,,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,First,7,18,WON,140,84,30,99,60,88,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,First,8,25,WON,100,41,41,60,99,100,20,20,20,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,Second,8,24,LOST,30,70,41,60,60,85,37,41,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,Second,9,27,LOST,26,60,62,40,45,7,76,80,42,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,First,9,28,WON,95,54,80,45,85,110,0,28,0,4,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,First,10,25,WON,82,100,85,100,40,29,24,29,12,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,Second,10,24,LOST,30,45,60,85,100,85,36,50,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,Second,11,15,LOST,85,45,134,41,60,,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,First,11,18,WON,30,85,140,80,98,68,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Andy Bradley-Nye,Mike Wallis,First,12,24,LOST,24,81,100,28,26,26,36,92,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/qd5NEhJbVv1l,Mike Wallis,Andy Bradley-Nye,Second,12,22,WON,100,30,85,125,99,42,0,20,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,First,1,22,WON,41,45,125,21,41,140,72,16,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,Second,1,21,LOST,96,80,100,95,93,13,0,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,Second,2,22,WON,140,60,60,81,45,28,65,22,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,First,2,24,LOST,43,30,27,30,36,60,63,41,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,First,3,30,LOST,45,100,45,85,26,121,39,20,10,0,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,Second,3,29,WON,51,45,60,28,140,19,26,25,67,40,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,Second,4,30,WON,60,30,60,45,85,26,30,24,43,98,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,First,4,30,LOST,45,58,60,14,43,125,60,25,31,30,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,First,5,26,WON,60,45,45,140,60,100,35,0,16,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,Second,5,24,LOST,29,80,33,52,38,95,134,32,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,Second,6,24,WON,45,41,60,60,25,100,100,70,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,First,6,24,LOST,78,70,95,21,44,58,21,34,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,First,7,24,LOST,45,140,28,45,45,68,35,57,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,Second,7,23,WON,85,45,60,85,26,95,65,40,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,Second,8,25,WON,60,45,40,28,140,55,41,72,20,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,First,8,27,LOST,100,20,81,41,26,72,45,76,30,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,First,9,26,WON,60,43,22,100,125,60,39,18,34,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,Second,9,24,LOST,78,22,27,25,100,37,39,83,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,Darren Evans,James Edghill,Second,10,20,WON,55,100,45,55,100,60,86,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/x82FY6msPStV,James Edghill,Darren Evans,First,10,21,LOST,81,70,27,85,41,43,67,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,Second,1,21,LOST,35,36,45,121,41,41,7,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,First,1,22,WON,100,65,140,45,45,42,32,32,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,First,2,27,LOST,85,7,138,41,100,78,42,6,2,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,Second,2,26,WON,41,100,60,28,70,79,43,72,8,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,Second,3,23,WON,100,22,95,100,95,41,32,16,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,First,3,24,LOST,41,15,60,41,100,41,100,83,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,First,4,36,WON,134,45,60,81,34,43,48,37,11,6,0,2,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,Second,4,33,LOST,41,70,34,22,41,22,95,44,41,47,16,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,Second,5,27,WON,66,100,43,60,85,41,36,32,38,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,First,5,27,LOST,100,45,7,22,26,41,100,40,0,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,First,6,30,LOST,70,41,41,26,28,60,97,58,32,32,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,Second,6,30,WON,58,45,60,28,100,45,46,51,52,16,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,Second,7,21,LOST,43,81,41,45,43,40,60,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,First,7,23,WON,62,100,24,96,41,59,92,27,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,First,8,30,WON,60,100,60,60,41,140,30,0,0,10,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,Second,8,27,LOST,32,43,26,32,47,53,21,60,32,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,Second,9,32,WON,45,60,24,60,45,31,58,138,0,20,20,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,First,9,33,LOST,40,44,22,125,45,81,43,26,24,41,8,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,First,10,31,WON,100,60,40,41,100,40,30,47,19,0,24,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,Second,10,30,LOST,100,25,21,28,22,44,85,9,44,11,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,Second,11,22,WON,80,60,41,100,60,60,60,40,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,First,11,24,LOST,60,80,45,29,119,42,26,23,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Dylan Loughnane,Ian Gower,First,12,30,WON,26,43,100,60,60,45,42,85,20,20,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/WHnM3gkt36iG,Ian Gower,Dylan Loughnane,Second,12,27,LOST,46,45,96,22,76,60,24,44,28,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,Second,1,22,WON,45,95,41,60,60,140,20,40,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,First,1,24,LOST,66,41,41,85,85,45,38,60,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,First,2,20,WON,41,55,100,60,135,50,60,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,Second,2,18,LOST,60,45,85,140,125,26,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,Second,3,23,WON,66,41,140,60,81,73,20,20,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,First,3,24,LOST,81,45,100,45,78,55,29,36,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,First,4,21,LOST,85,26,60,85,45,43,26,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,Second,4,19,WON,26,100,100,55,100,100,20,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,Second,5,18,LOST,95,7,45,125,125,100,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,First,5,20,WON,41,60,60,100,140,60,40,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,First,6,23,WON,11,85,60,60,60,85,80,60,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,Second,6,21,LOST,41,100,140,28,92,40,40,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,Second,7,30,LOST,41,95,28,62,80,60,64,31,20,16,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,First,7,32,WON,70,85,100,100,79,59,6,0,0,0,2,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,First,8,23,WON,45,66,60,100,135,35,28,32,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,Second,8,21,LOST,60,21,60,40,85,26,47,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,Second,9,21,LOST,41,45,60,60,45,26,180,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,First,9,23,WON,81,60,60,43,60,99,58,40,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,First,10,30,WON,95,41,30,30,45,85,13,44,28,90,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,Second,10,27,LOST,45,45,100,60,60,43,43,41,24,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,Second,11,15,LOST,45,95,100,26,68,,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,First,11,18,WON,100,26,100,140,47,88,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,First,12,18,LOST,30,41,30,60,45,100,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,Second,12,18,WON,81,140,60,100,50,70,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,Second,13,21,LOST,45,30,41,41,85,22,100,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,First,13,24,WON,83,83,123,55,97,40,0,20,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Andy Bradley-Nye,Michael Fitzgerald,First,14,18,LOST,85,81,85,70,40,120,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/AngShPAIjCpE,Michael Fitzgerald,Andy Bradley-Nye,Second,14,17,WON,60,45,100,140,100,56,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,Second,1,29,WON,11,62,81,81,43,45,81,57,21,19,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,First,1,30,LOST,30,60,85,55,100,54,0,23,54,0,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,First,2,27,LOST,26,55,29,80,66,41,100,13,51,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,Second,2,25,WON,60,55,121,95,50,44,44,0,32,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,Second,3,21,LOST,11,7,135,41,29,28,41,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,First,3,22,WON,60,85,46,45,57,60,120,28,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,First,4,31,WON,125,97,66,62,45,87,0,3,0,8,8,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,Second,4,30,LOST,100,30,100,95,59,114,0,0,1,0,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,Second,5,24,LOST,85,45,62,66,15,58,15,99,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,First,5,27,WON,85,60,140,100,60,24,0,0,32,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,First,6,30,LOST,44,68,45,43,57,35,24,30,45,50,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,Second,6,28,WON,81,41,17,81,125,85,35,18,0,18,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,Second,7,21,LOST,57,61,60,81,140,66,4,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,First,7,22,WON,85,45,40,100,89,36,66,40,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,First,8,27,LOST,28,15,70,81,40,140,32,55,20,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,Second,8,26,WON,100,40,70,59,95,59,26,28,24,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,Second,9,30,LOST,45,30,36,7,35,28,17,30,41,125,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,First,9,32,WON,66,45,30,55,28,85,95,28,59,0,10,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,First,10,28,WON,30,44,26,95,36,59,85,28,58,40,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,Second,10,27,LOST,30,45,85,26,21,85,30,31,82,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Ian Gower,Mike Wallis,Second,11,21,LOST,44,41,41,26,60,95,67,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/myqU9tnuLGAX,Mike Wallis,Ian Gower,First,11,22,WON,20,46,60,31,111,93,120,20,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,First,1,32,WON,60,45,60,45,85,44,45,24,8,69,16,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,Second,1,30,LOST,40,60,81,60,39,62,38,57,24,20,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,Second,2,18,LOST,100,85,100,24,100,32,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,First,2,21,WON,59,140,45,80,97,44,36,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,First,3,32,WON,41,85,63,25,40,85,54,37,31,20,20,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,Second,3,30,LOST,41,45,40,60,44,44,31,60,21,31,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,Second,4,27,WON,60,41,30,100,26,55,57,68,64,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,First,4,27,LOST,25,85,44,63,27,76,57,29,63,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,First,5,33,LOST,95,45,60,41,60,45,42,45,36,8,0,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,Second,5,33,WON,60,85,40,40,42,44,82,28,32,0,48,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,Second,6,27,LOST,100,41,41,121,13,60,7,78,26,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,First,6,28,WON,41,99,59,59,45,100,58,20,10,10,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,First,7,27,LOST,45,180,100,41,111,12,0,6,4,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,Second,7,25,WON,26,100,96,35,44,60,43,57,40,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,Second,8,24,WON,45,45,100,85,78,58,58,32,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,First,8,24,LOST,96,59,99,59,44,96,32,12,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,First,9,27,LOST,60,40,100,60,55,11,45,40,0,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,Second,9,26,WON,60,100,58,47,60,44,24,76,32,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Darren Evans,Daryl Clarke,Second,10,24,LOST,95,100,41,60,45,55,65,30,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/P1Z86DrI3k8D,Daryl Clarke,Darren Evans,First,10,27,WON,65,132,55,59,60,44,38,40,8,,,,,,
